Question Number,Question Name,Array,Difficulty,Completed,Solution Notes,Runtime,Description
1, Two Sum,Array,Easy,X,"Create hashmap for compliment solution, run through list of nums checking if compliment is in map if yes return indices, if not add to map",O(N),"Two Sum - Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

You can return the answer in any order."
4, Container With Most Water,Array,Medium,X,"2 Pointer, while l<r. Move pointer with lower height.",O(N),"Container With Most Water - You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).

Find two lines that together with the x-axis form a container, such that the container contains the most water.

Return the maximum amount of water a container can store.

Notice that you may not slant the container."
5, 3Sum,Array,Medium,X,"Sort list, for every unique num. move left and right point if sum is too small or great, add ans if achieved. ",O(N^2),"3Sum - Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.

Notice that the solution set must not contain duplicate triplets."
14, Maximum Subarray,Array,Medium,X,"Current = first element, max = max element. For every num if the curr total is < 0 reset to 0 else add the num to curr and update max if necessary",O(N),"Maximum Subarray - Given an integer array nums, find the subarray with the largest sum, and return its sum."
38, Maximum Product Subarray,Array,Medium,X,"For every element in array keep track of min and max product and update with each number, keep a global max to return. ",O(N),"Maximum Product Subarray - Given an integer array nums, find a subarray that has the largest product, and return the product.

The test cases are generated so that the answer will fit in a 32-bit integer."
39, Find Minimum in Rotated Sorted Array,Array,Medium,X,"if mid-1 >mid or mid+1<mid return mid/mid+1. Else check if l<mid and move l to mid+1, else move r to mid-1.",Log(N),"Find Minimum in Rotated Sorted Array - Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,2,4,5,6,7] might become:

 * [4,5,6,7,0,1,2] if it was rotated 4 times.
 * [0,1,2,4,5,6,7] if it was rotated 7 times.

Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]].

Given the sorted rotated array nums of unique elements, return the minimum element of this array.

You must write an algorithm that runs in O(log n) time."
55, Product of Array Except Self,Array,Medium,X,"Count product of array without 0s and num of 0s. If num 0s >1, return all 0s. If a 0 and this num isnt 0 append 0. if num is 0 append product, else append product/number",O(N),"Product of Array Except Self - Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i].

The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer.

You must write an algorithm that runs in O(n) time and without using the division operation."
10, Search in Rotated Sorted Array,"Array, DP",Medium,X,While l<=r: if mid = target return. If l<mid then check if target is in range of l and mid and change r. Else change l. Else check if target inbetween mid and r and change l else change r.,O(log(n)),"Search in Rotated Sorted Array - There is an integer array nums sorted in ascending order (with distinct values).

Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2].

Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums.

You must write an algorithm with O(log n) runtime complexity."
30, Best Time to Buy and Sell Stock,"Array, Hashtable",Easy,X,loop over prices if price is lowest so far set buy to price otherwise check if maxProfit is less than price-buy,O(N),"Best Time to Buy and Sell Stock - You are given an array prices where prices[i] is the price of a given stock on the ith day.

You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.

Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0."
50, Contains Duplicate,Binary,Easy,X,"Use hashtable, loop if in hash return True. OR compare len of set(nums) to len of nums",O(N),"Contains Duplicate - Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct."
40, Reverse Bits,Binary,Easy,,,,"Reverse Bits - Reverse bits of a given 32 bits unsigned integer.

Note:

 * Note that in some languages, such as Java, there is no unsigned integer type. In this case, both input and output will be given as a signed integer type. They should not affect your implementation, as the integer's internal binary representation is the same, whether it is signed or unsigned.
 * In Java, the compiler represents the signed integers using 2's complement notation [https://en.wikipedia.org/wiki/Two%27s_complement]. Therefore, in"
41, Number of 1 Bits,Binary,Easy,,,,"Number of 1 Bits - Write a function that takes an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight [http://en.wikipedia.org/wiki/Hamming_weight]).

Note:

 * Note that in some languages, such as Java, there is no unsigned integer type. In this case, the input will be given as a signed integer type. It should not affect your implementation, as the integer's internal binary representation is the same, whether it is signed or unsigned.
 * In Java, the compiler represents the signed integers using 2's complement notation [https://en.wikipedia.org/wiki/Two%27s_complement]. Therefore, in"
60, Missing Number,Binary,Easy,X,n(n+1)/2 - sum(nums),O(N),"Missing Number - Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array."
67, Counting Bits,Binary,Easy,,,,"Counting Bits - Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i."
69, Sum of Two Integers,Binary,Medium,,,,"Sum of Two Integers - Given two integers a and b, return the sum of the two integers without using the operators + and -."
3, Longest Palindromic Substring,DP,Medium,X,Expand around center of 1 or 2 chars while outer 2 char in bound and equal for each char in s. Return longest.,O(N^2),"Longest Palindromic Substring - Given a string s, return the longest palindromic substring in s."
11, Combination Sum,DP,Medium,,,,"Combination Sum - Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order.

The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different.

The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input."
16, Jump Game,DP,Medium,X,for every num if it can be reached up longest with max of longest and num+jump distance. If num cant be reached return false. Return true if last node reached.,O(N),"Jump Game - You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position.

Return true if you can reach the last index, or false otherwise."
19, Unique Paths,DP,Medium,X,"If out of bounds return 0, if end of path return 1, else return dp of down a square + dp of right a square. Use lru_cache for effencies.",O(N*M),"Unique Paths - There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time.

Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner.

The test cases are generated so that the answer will be less than or equal to 2 * 109."
20, Climbing Stairs,DP,Medium,X,"If n ==1, return 1 elif n==2, return 2 else return helper(n-1)+helper(n-2). Store results in a hashtable. OR use fibonci numbers",O(N),"Climbing Stairs - You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?"
24, Decode Ways,DP,Medium,X,"create array of ans, for every num add the answer to the problem of num before. If 9<num and num before<27 add answer of 2 before as well. Return last in array of answers.",O(N),"Decode Ways - A message containing letters from A-Z can be encoded into numbers using the following mapping:


'A' -> ""1""
'B' -> ""2""
...
'Z' -> ""26""


To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into:

 * ""AAJF"" with the grouping (1 1 10 6)
 * ""KJF"" with the grouping (11 10 6)

Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"".

Given a string s containing only digits, return the number of ways to decode it.

The test cases are generated so that the answer fits in a 32-bit integer."
35, Word Break,DP,Medium,X,"Bottomup: create array size of word, for every word in dict check if it matches current string, if so update ith element in arr to 1. for every 1 in arr run dictt words again. Check if last element 1.",O(len(s)*DictWord),"Word Break - Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words.

Note that the same word in the dictionary may be reused multiple times in the segmentation."
42, House Robber,DP,Medium,X,Max on current house plus DP on position+2 and DP on position+1. If second to end return max of 2. if end return end.,O(N),"House Robber - You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night.

Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police."
49, House Robber II,DP,Medium,X,Do House Robber but take max between houses - first house and houses - last house,O(N),"House Robber II - You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Meanwhile, adjacent houses have a security system connected, and it will automatically contact the police if two adjacent houses were broken into on the same night.

Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police."
64, Longest Increasing Subsequence,DP,Medium,X,"DP map keep track of longest starting at end and if num is less than curr, update DP. Create array add first num, for remaining nums if num is higher than last add to array else replace last num in array. Can use Binary Search to speed up.",O(N^2) / O(nLog(N)),"Longest Increasing Subsequence - Given an integer array nums, return the length of the longest strictly increasing subsequence."
65, Coin Change,DP,Medium,X,Bottomup: Create array size target+1 and set each index to target+1. For each coin check if target can be made in fewer coins by using that coin and previous answer. ,O(Coins*Target),"Coin Change - You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money.

Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1.

You may assume that you have an infinite number of each kind of coin."
76, Longest Common Subsequence,DP,Medium,X,,,"Longest Common Subsequence - Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0.

A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.

 * For example, ""ace"" is a subsequence of ""abcde"".

A common subsequence of two strings is a subsequence that is common to both strings."
33, Longest Consecutive Sequence,DP,Medium,X,Create set from nums. For each num check if previous num is in set. If not then check for consecutive numbers. This makes no duplicate sequences.,O(N),"Longest Consecutive Sequence - Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.

You must write an algorithm that runs in O(n) time."
34, Clone Graph,Graph,Medium,,,,"Clone Graph - Given a reference of a node in a connected [https://en.wikipedia.org/wiki/Connectivity_(graph_theory)#Connected_graph] undirected graph.

Return a deep copy [https://en.wikipedia.org/wiki/Object_copying#Deep_copy] (clone) of the graph.

Each node in the graph contains a value (int) and a list (List[Node]) of its neighbors.


class Node {
    public int val;
    public List<Node> neighbors;
}


 

Test case format:

For simplicity, each node's value is the same as the node's index (1-indexed). For example, the first node with val == 1, the second node with val == 2, and so on. The graph is represented in the test case using an adjacency list.

An adjacency list is a collection of unordered lists used to represent a finite graph. Each list describes the set of neighbors of a node in the graph.

The given node will always be the first node with val = 1. You must return the copy of the given node as a reference to the cloned graph."
43, Number of Islands,Graph,Medium,X,"Use dfs on every point, if 1 and not in visited add an island and run dfs.",O(N*M),"Number of Islands - Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands.

An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water."
45, Course Schedule,Graph,Medium,,,,"Course Schedule - There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.

 * For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.

Return true if you can finish all courses. Otherwise, return false."
70, Pacific Atlantic Water Flow,Graph,Medium,,,,"Pacific Atlantic Water Flow - There is an m x n rectangular island that borders both the Pacific Ocean and Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges.

The island is partitioned into a grid of square cells. You are given an m x n integer matrix heights where heights[r][c] represents the height above sea level of the cell at coordinate (r, c).

The island receives a lot of rain, and the rain water can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean.

Return a 2D list of grid coordinates result where result[i] = [ri, ci] denotes that rain water can flow from cell (ri, ci) to both the Pacific and Atlantic oceans."
63, Find Median from Data Stream,Heap,Medium,,,,"Find Median from Data Stream - The median is the middle value in an ordered integer list. If the size of the list is even, there is no middle value, and the median is the mean of the two middle values.

 * For example, for arr = [2,3,4], the median is 3.
 * For example, for arr = [2,3], the median is (2 + 3) / 2 = 2.5.

Implement the MedianFinder class:

 * MedianFinder() initializes the MedianFinder object.
 * void addNum(int num) adds the integer num from the data stream to the data structure.
 * double findMedian() returns the median of all elements so far. Answers within 10-5 of the actual answer will be accepted."
68, Top K Frequent Elements,Heap,Medium,X,count occurance of each num in dictionary. Use priority qeue to pop top k elements by value.,O(Nlog(k)),"Top K Frequent Elements - Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order."
17, Merge Intervals,Intervals,Medium,X,"Sort intervals by start time, for each interval check if starts after previous ends, ends after previous, or is encompassed by previous. Extra space for answer.",O(nLog(n)),"Merge Intervals - Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input."
